FID,station,latitude,longitude,mintemp,maxtemp,maxws,maxrain,minYR,maxYr,totalYR,minDays,Analysis
6,BPW,49.119999999999997,-92.959999999999994,-3.600000000000000,44.700000000000003,36.194479999999999,24.129999999999999,2007,2019,12,107,Spot Check
10,CAT,51.719999999999999,-91.829999999999998,-6.000000000000000,35.100000000000001,48.000000000000000,23.879999999999999,2007,2019,11,102,Spot Check
13,CRT,46.700800000000001,-81.556500000000000,-5.800000000000000,33.799999999999997,34.899999999999999,19.050000000000001,2007,2019,13,101,Region B
14,DAL,48.119199999999999,-84.063999999999993,-8.199999999999999,33.600000000000001,31.600000000000001,23.879999999999999,2007,2019,13,98,Spot Check
18,DVL,49.197699999999998,-87.761700000000005,-10.300000000000001,32.899999999999999,26.000000000000000,24.640000000000001,2009,2018,10,98,Spot Check
19,GLP,49.840000000000003,-90.189999999999998,-7.000000000000000,35.700000000000003,29.531700000000001,21.340000000000000,2007,2019,12,102,Region A
29,KAP,49.419400000000003,-82.466999999999999,-8.400000000000000,35.200000000000003,56.899999999999999,24.129999999999999,2007,2019,13,98,Region C
30,KES,49.798499999999997,-80.228800000000007,-8.100000000000000,36.399999999999999,40.299999999999997,23.109999999999999,2007,2019,13,85,Spot Check
31,KIO,46.153700000000001,-78.925299999999993,-3.800000000000000,35.299999999999997,63.200000000000003,24.890000000000001,2007,2019,12,107,Spot Check
33,KRN,49.479999999999997,-89.989999999999995,-8.400000000000000,35.500000000000000,26.816369999999999,23.370000000000001,2007,2019,13,100,Region A
35,LBC,46.865800000000000,-82.200900000000004,-4.100000000000000,33.100000000000001,39.399999999999999,24.129999999999999,2007,2019,13,101,Region B
36,MAS,46.216099999999997,-82.066900000000004,-4.000000000000000,34.100000000000001,35.600000000000001,24.890000000000001,2007,2019,13,108,Region B
41,NAK,50.175699999999999,-86.691900000000004,-9.000000000000000,34.299999999999997,39.600000000000001,23.109999999999999,2007,2019,13,100,Spot Check
45,OKE,48.959600000000002,-81.968500000000006,-8.500000000000000,35.200000000000003,36.799999999999997,21.590000000000000,2009,2019,11,98,Region C
52,RAN,46.871699999999997,-83.608599999999996,-4.400000000000001,32.100000000000001,22.382210000000001,23.109999999999999,2007,2019,13,101,Spot Check
54,RUF,49.089399999999998,-82.994200000000006,-8.699999999999999,45.100000000000001,33.100000000000001,24.129999999999999,2007,2019,13,89,Region C
61,STU,49.842599999999997,-91.180700000000002,-7.400000000000000,35.399999999999999,28.199999999999999,23.620000000000001,2007,2019,12,102,Region A
62,SUZ,46.669199999999996,-80.920199999999994,-6.200000000000000,34.899999999999999,37.000000000000000,21.079999999999998,2007,2019,13,101,Region B
63,SVB,50.271400000000000,-90.676100000000005,-9.000000000000000,34.899999999999999,40.200000000000003,24.890000000000001,2010,2019,10,100,Region A